region,candidato,sexo,edad_grupo,poblacion_region,porcentaje_grupo,ingreso_promedio,score,sentimiento,probabilidad,ganador,indecisos
Loreto,Fujimori,M,60+,1907049,0.0574,1279,42.68,0.28,0.4553,0,0.1448
Ucayali,Acuña,M,60+,6640648,0.1714,1238,46.8,0.31,0.4142,0,0.4795
Ayacucho,Vizcarra,M,26-40,2721643,0.0554,743,58.68,0.35,0.497,0,0.3947
Callao,López Aliaga,F,18-25,4068566,0.0704,731,41.14,0.42,0.4326,0,0.496
Lambayeque,López Aliaga,F,41-60,9560480,0.07,770,66.13,0.29,0.4927,0,0.4444
Loreto,Fujimori,M,60+,5056175,0.0689,995,49.3,0.24,0.4025,0,0.4434
Tacna,Acuña,F,26-40,9528423,0.1508,887,44.87,0.24,0.447,0,0.1336
Huancavelica,Alvarez,F,41-60,9758852,0.1586,1107,45.53,0.44,0.4944,0,0.3239
Lima,Vizcarra,M,60+,1773009,0.0777,1260,44.4,0.35,0.454,0,0.3175
Apurímac,Fujimori,M,41-60,7158305,0.0613,997,53.53,0.27,0.4844,0,0.1931
Ucayali,Vizcarra,M,41-60,6118883,0.0904,820,48.66,0.35,0.4371,0,0.4944
Ucayali,Vizcarra,F,26-40,4523182,0.1339,1088,42.65,0.44,0.4534,0,0.4583
Cusco,Vizcarra,M,26-40,2819367,0.1797,1227,41.99,0.42,0.4767,0,0.2962
Ica,Acuña,M,60+,8651288,0.1754,834,43.06,0.44,0.4644,0,0.413
Cajamarca,Fujimori,M,18-25,4290214,0.0938,1278,59.22,0.28,0.4643,0,0.428
Ayacucho,Acuña,M,60+,1464007,0.0566,1224,42.94,0.42,0.4514,0,0.4347
Puno,Fujimori,F,60+,5482573,0.0974,991,54.24,0.26,0.4625,0,0.294
Junín,Acuña,F,60+,9459581,0.0521,990,44.44,0.4,0.4734,0,0.3304
Huánuco,Vizcarra,M,60+,7369780,0.0792,771,42.47,0.25,0.445,0,0.123
Puno,López Aliaga,F,18-25,9735574,0.1481,996,48.83,0.31,0.4942,0,0.1224
Pasco,Fujimori,F,26-40,7168748,0.1254,1257,48.78,0.4,0.4755,0,0.3943
Junín,López Aliaga,F,60+,4015331,0.1141,1000,69.58,0.23,0.4756,0,0.4731
Lima,Acuña,M,26-40,5012159,0.0578,860,58.67,0.36,0.4957,0,0.4138
Tumbes,Alvarez,F,26-40,938266,0.1201,1016,47.97,0.24,0.3977,0,0.4486
Pasco,Alvarez,F,60+,3491252,0.1566,882,51.75,0.44,0.488,0,0.4801
Ica,Fujimori,F,60+,7537723,0.1181,844,61.75,0.32,0.4927,0,0.4119
Tacna,López Aliaga,M,18-25,9442605,0.1517,750,62.51,0.31,0.4978,0,0.3724
Arequipa,Fujimori,M,18-25,3641245,0.1331,723,54.38,0.22,0.482,0,0.1223
Callao,Vizcarra,M,41-60,3541335,0.0602,925,47.4,0.37,0.4769,0,0.3001
Áncash,Alvarez,M,26-40,7397194,0.053,1142,44.62,0.27,0.4348,0,0.266
Arequipa,Acuña,M,26-40,3400699,0.1545,902,54.72,0.27,0.4665,0,0.3036
Puno,Alvarez,M,41-60,1331485,0.0958,896,49.85,0.31,0.4968,0,0.1261
Amazonas,Vizcarra,M,26-40,2648743,0.1366,996,47.52,0.31,0.4241,0,0.4453
Huánuco,López Aliaga,F,26-40,2525559,0.055,900,44.41,0.41,0.4772,0,0.32
Pasco,Vizcarra,F,60+,8199620,0.0825,1278,45.14,0.43,0.4697,0,0.4154
Loreto,López Aliaga,M,60+,3589091,0.1234,757,43.14,0.36,0.4672,0,0.2544
Amazonas,López Aliaga,F,41-60,7216869,0.0684,1212,42.4,0.39,0.4839,0,0.2185
Cusco,Fujimori,M,18-25,2779063,0.0676,1036,40.23,0.42,0.4317,0,0.4825
Áncash,Alvarez,F,18-25,8994175,0.1209,715,50.08,0.32,0.4556,0,0.3602
Ica,Alvarez,M,18-25,3400525,0.1468,770,43.49,0.26,0.4063,0,0.3507
Ayacucho,López Aliaga,M,18-25,3287507,0.1605,1133,55.06,0.22,0.4584,0,0.2447
Tumbes,Fujimori,M,18-25,9297048,0.1708,1129,59.39,0.22,0.4923,0,0.1722
Lambayeque,Alvarez,M,26-40,4667946,0.1264,920,52.29,0.29,0.4772,0,0.2329
Amazonas,Fujimori,F,18-25,6540635,0.1302,1269,49.31,0.23,0.4581,0,0.1549
Apurímac,Fujimori,M,26-40,6651822,0.0721,1242,55.61,0.24,0.4595,0,0.2997
Madre de Dios,Vizcarra,M,18-25,4881346,0.0971,717,64.08,0.22,0.4619,0,0.4041
Ucayali,Acuña,M,41-60,2696622,0.1525,1045,40.85,0.21,0.3589,0,0.4405
Cusco,Alvarez,F,26-40,3955504,0.1373,890,52.3,0.2,0.3942,0,0.4769
Amazonas,Acuña,M,18-25,1997335,0.058,913,44.44,0.44,0.4813,0,0.3615
Moquegua,Acuña,F,41-60,4691285,0.0764,736,71.12,0.21,0.4812,0,0.4407
Puno,Alvarez,M,18-25,1022294,0.1755,709,59.16,0.38,0.4889,0,0.4893
Apurímac,López Aliaga,F,41-60,9664795,0.1249,807,59.65,0.32,0.4889,0,0.3942
Áncash,Alvarez,M,60+,4212102,0.1439,1126,41.2,0.38,0.4547,0,0.3061
Tacna,López Aliaga,F,18-25,1717376,0.16,860,43.83,0.26,0.38,0,0.4915
Apurímac,Vizcarra,F,60+,1964552,0.1188,1197,46.02,0.32,0.4412,0,0.3453
Piura,Vizcarra,M,41-60,7022642,0.1105,1257,47.88,0.27,0.4627,0,0.1803
Pasco,Fujimori,M,26-40,5584317,0.1692,973,46.81,0.26,0.4039,0,0.4346
Puno,López Aliaga,M,41-60,6191900,0.1714,800,43.6,0.25,0.4081,0,0.3326
La Libertad,Vizcarra,M,60+,4808749,0.1259,1217,44.61,0.33,0.4319,0,0.3892
Huánuco,Acuña,M,60+,3502726,0.0935,840,49.58,0.45,0.4824,0,0.4855
Callao,Vizcarra,M,41-60,5347553,0.151,905,42.34,0.22,0.3896,0,0.3375
Cajamarca,Fujimori,M,41-60,4131639,0.1793,910,43.88,0.29,0.4553,0,0.1817
Ica,Vizcarra,F,41-60,8942939,0.0899,1195,50.32,0.25,0.4532,0,0.242
Huancavelica,Alvarez,F,60+,5459811,0.119,792,53.66,0.34,0.4724,0,0.3874
Tumbes,Vizcarra,M,18-25,7929557,0.163,1093,45.8,0.34,0.4312,0,0.4405
Pasco,López Aliaga,M,26-40,7619478,0.0877,737,48.33,0.23,0.4442,0,0.2047
Cajamarca,Alvarez,F,18-25,1599133,0.1277,1192,59.72,0.24,0.4447,0,0.4583
Cajamarca,Acuña,M,18-25,6449681,0.1218,1061,52.18,0.29,0.4588,0,0.3365
Madre de Dios,López Aliaga,M,60+,8072047,0.0717,821,55.97,0.27,0.4735,0,0.3004
Pasco,Vizcarra,F,26-40,2151307,0.0666,1158,49.22,0.38,0.4578,0,0.4544
Amazonas,López Aliaga,F,60+,5929987,0.1261,1064,51.91,0.34,0.4977,0,0.238
Ucayali,López Aliaga,M,18-25,2334715,0.1152,857,42.46,0.46,0.4743,0,0.3932
Lambayeque,Vizcarra,M,60+,4909894,0.0848,1034,47.92,0.25,0.4566,0,0.1656
Ayacucho,Alvarez,F,18-25,7733187,0.1212,934,63.59,0.23,0.4599,0,0.4316
Junín,Acuña,F,41-60,2201773,0.0602,1207,42.49,0.3,0.4349,0,0.2732
Cajamarca,Fujimori,F,60+,1395144,0.0696,754,40.55,0.42,0.4891,0,0.2006
Apurímac,Vizcarra,M,60+,9903687,0.1738,1020,49.09,0.49,0.4928,0,0.4909
Tacna,Alvarez,F,26-40,7344036,0.1745,904,48.71,0.37,0.4767,0,0.3276
Puno,Acuña,M,18-25,5772362,0.0806,1246,55.22,0.25,0.4826,0,0.1933
Callao,Alvarez,F,60+,7936613,0.1184,1199,56.91,0.21,0.4527,0,0.2878
Moquegua,Alvarez,F,60+,5080483,0.1125,1202,52.29,0.39,0.4746,0,0.4591
Lima,Fujimori,M,18-25,5785501,0.0825,873,54.24,0.37,0.4953,0,0.3505
Tumbes,Acuña,F,60+,4894862,0.0704,752,43.42,0.44,0.47,0,0.4002
Cajamarca,Acuña,F,60+,3557059,0.1465,1281,46.21,0.5,0.4942,0,0.4531
Puno,Alvarez,M,60+,4199886,0.1208,1191,54.05,0.39,0.4832,0,0.4372
Pasco,Acuña,F,26-40,5484062,0.1765,1261,57.74,0.2,0.4376,0,0.3735
Apurímac,Alvarez,M,41-60,3171477,0.1718,986,42.21,0.25,0.4198,0,0.2502
Arequipa,Alvarez,F,18-25,2617894,0.0982,1177,54.98,0.24,0.4893,0,0.1277
Ayacucho,López Aliaga,M,60+,7467590,0.0631,1126,61.49,0.22,0.4607,0,0.3712
Ucayali,Acuña,M,41-60,2959792,0.071,1210,58.85,0.23,0.4659,0,0.2976
Ucayali,Alvarez,F,60+,5895147,0.0598,744,67.15,0.28,0.4848,0,0.4812
Amazonas,Vizcarra,M,41-60,3011691,0.0683,1094,48.57,0.35,0.466,0,0.3389
Madre de Dios,López Aliaga,F,41-60,3477305,0.1136,938,42.26,0.47,0.4787,0,0.3949
Lima,Alvarez,F,18-25,9308514,0.1628,1035,70.94,0.21,0.4737,0,0.4748
Tacna,Vizcarra,F,18-25,4495121,0.0547,1087,50.37,0.31,0.4387,0,0.4265
Puno,López Aliaga,M,60+,6244958,0.1399,1103,62.51,0.24,0.4843,0,0.3181
San Martín,Acuña,F,60+,1012305,0.1074,880,62.99,0.29,0.4684,0,0.4909
Moquegua,Alvarez,F,60+,7297554,0.0592,747,40.4,0.23,0.3949,0,0.2957
Arequipa,López Aliaga,M,26-40,9785480,0.0592,1033,63.59,0.23,0.4631,0,0.4154
Huancavelica,Alvarez,M,60+,7160359,0.1637,1238,40.3,0.48,0.475,0,0.3929
Cajamarca,Alvarez,F,60+,3619056,0.1572,925,53.11,0.23,0.4724,0,0.1569
Ica,López Aliaga,F,18-25,7936401,0.0965,776,47.62,0.42,0.4659,0,0.4591
Lambayeque,Acuña,M,41-60,8889734,0.1214,1268,41.49,0.51,0.4793,0,0.4435
Ayacucho,Vizcarra,M,41-60,2173825,0.1603,1170,42.6,0.22,0.4369,0,0.1052
Madre de Dios,Fujimori,F,60+,6052354,0.0889,1225,62.91,0.25,0.4525,0,0.4922
Pasco,López Aliaga,M,18-25,2152517,0.1617,859,66.95,0.28,0.4994,0,0.4023
Ucayali,Vizcarra,F,18-25,4508456,0.0912,1266,40.73,0.47,0.4726,0,0.3829
Junín,López Aliaga,F,18-25,9084160,0.1735,1032,44.29,0.21,0.3742,0,0.4394
Apurímac,López Aliaga,F,26-40,1634594,0.1179,877,40.97,0.33,0.4474,0,0.2349
Callao,López Aliaga,M,26-40,7797039,0.0797,1063,61.21,0.29,0.4756,0,0.4226
Tacna,Fujimori,M,26-40,9380268,0.1037,1133,54.29,0.23,0.4143,0,0.4786
Junín,Vizcarra,F,26-40,4049125,0.1712,1191,50.33,0.29,0.4783,0,0.1903
Amazonas,Fujimori,M,41-60,5610239,0.0882,1155,61.78,0.24,0.4516,0,0.4575
Amazonas,Alvarez,M,26-40,2414882,0.1015,1255,50.47,0.3,0.4293,0,0.4551
Lambayeque,Fujimori,M,26-40,4227136,0.0558,734,41.1,0.37,0.484,0,0.1367
Lima,Fujimori,M,18-25,7403040,0.1558,988,51.63,0.23,0.405,0,0.4747
Pasco,Alvarez,F,41-60,3353791,0.1034,1185,53.68,0.26,0.4941,0,0.1245
Callao,López Aliaga,F,26-40,8473223,0.1605,972,44.39,0.27,0.4349,0,0.254
San Martín,López Aliaga,F,26-40,4311212,0.1154,809,54.54,0.33,0.4769,0,0.3677
Cajamarca,López Aliaga,F,18-25,6460536,0.1728,1030,61.43,0.25,0.4733,0,0.3683
Pasco,Fujimori,M,41-60,6782806,0.1403,1157,46.1,0.43,0.4839,0,0.3575
Lima,Alvarez,F,18-25,8395945,0.1689,972,51.42,0.24,0.4288,0,0.3741
Lambayeque,Fujimori,M,18-25,3821311,0.0501,854,65.72,0.25,0.4759,0,0.4358
Apurímac,Alvarez,M,18-25,2701736,0.0799,1145,64.17,0.27,0.4959,0,0.3349
Moquegua,Vizcarra,M,60+,7422970,0.0617,1084,40.72,0.48,0.4623,0,0.4704
San Martín,Alvarez,M,41-60,5756890,0.1677,902,42.94,0.34,0.4795,0,0.1503
San Martín,Acuña,F,26-40,897050,0.1294,1213,59,0.28,0.459,0,0.4468
Callao,Vizcarra,M,60+,5119386,0.175,725,58.62,0.32,0.4789,0,0.4219
Tumbes,Fujimori,M,18-25,5707704,0.12,722,67.59,0.21,0.4818,0,0.3562
Moquegua,Alvarez,F,18-25,6055377,0.0916,758,56.83,0.32,0.4897,0,0.3272
Madre de Dios,Fujimori,F,26-40,3423509,0.1021,714,46.03,0.42,0.4545,0,0.4859
Tacna,Vizcarra,F,18-25,5735756,0.0682,1022,63.26,0.2,0.4518,0,0.4064
Apurímac,Fujimori,M,18-25,5259047,0.1655,991,59.4,0.22,0.4673,0,0.2835
Junín,Vizcarra,F,26-40,6801648,0.0976,1207,70.33,0.21,0.486,0,0.4002
Ucayali,Alvarez,F,26-40,5940592,0.1604,1194,40.62,0.4,0.4936,0,0.1358
Amazonas,Fujimori,F,41-60,8232201,0.0805,820,62.08,0.25,0.4784,0,0.3519
Junín,López Aliaga,F,41-60,900384,0.108,859,61.05,0.23,0.4876,0,0.2375
Piura,Vizcarra,F,60+,7528795,0.0828,1231,49.03,0.44,0.4967,0,0.3788
Huancavelica,Vizcarra,M,60+,4381095,0.1531,993,45.81,0.27,0.4248,0,0.3363
Piura,López Aliaga,F,60+,2855793,0.0676,735,66.95,0.32,0.4956,0,0.4934
Moquegua,Acuña,M,60+,1090562,0.0812,1262,43.15,0.41,0.4587,0,0.3989
Ayacucho,Alvarez,F,41-60,1138002,0.0634,1227,48.47,0.29,0.4537,0,0.2898
Puno,López Aliaga,M,26-40,4244394,0.0575,949,44.26,0.52,0.4891,0,0.4828
Cusco,López Aliaga,F,60+,5950383,0.1641,979,46.31,0.31,0.4292,0,0.4029
Apurímac,Vizcarra,M,60+,9036293,0.0552,1079,50.6,0.2,0.4581,0,0.129
Ica,Vizcarra,M,26-40,4717416,0.1,736,49.48,0.37,0.4696,0,0.3841
Arequipa,Alvarez,F,41-60,5347201,0.1576,1172,45.35,0.22,0.3791,0,0.4424
Arequipa,López Aliaga,M,26-40,6957561,0.1561,1249,46.02,0.34,0.4455,0,0.369
Piura,Fujimori,M,18-25,5788397,0.0923,1261,50.78,0.31,0.4529,0,0.3788
Apurímac,Vizcarra,M,41-60,4958887,0.0591,1138,56.96,0.22,0.4862,0,0.1484
Pasco,Vizcarra,M,18-25,6569423,0.076,830,41.66,0.36,0.4452,0,0.3265
Arequipa,Acuña,M,60+,8928778,0.0546,1231,42.95,0.45,0.4758,0,0.3775
Huancavelica,Fujimori,F,26-40,7139689,0.0897,1117,41.83,0.46,0.4646,0,0.4316
Junín,Fujimori,F,41-60,9097544,0.0643,909,52.47,0.22,0.4276,0,0.3557
Cajamarca,Vizcarra,M,41-60,5569298,0.1273,1092,41.69,0.24,0.4274,0,0.1776
Tumbes,Alvarez,F,26-40,3197994,0.1296,889,57.93,0.26,0.4678,0,0.3403
Callao,Fujimori,F,41-60,8475902,0.118,950,57.18,0.39,0.4881,0,0.4884
La Libertad,López Aliaga,M,41-60,9335634,0.1776,1194,46.57,0.29,0.4044,0,0.4886
Ucayali,Vizcarra,M,60+,7955256,0.0797,1050,53.85,0.24,0.4397,0,0.3639
Loreto,Alvarez,F,26-40,5093387,0.1065,1286,42.18,0.51,0.486,0,0.4373
Callao,Acuña,F,60+,7807506,0.1651,967,56.5,0.29,0.4764,0,0.3328
Ucayali,Acuña,M,41-60,4337680,0.064,1128,57.2,0.38,0.4821,0,0.4944
Ica,Alvarez,M,41-60,2042272,0.1175,968,45.52,0.37,0.4731,0,0.2794
San Martín,Fujimori,F,18-25,4392241,0.086,959,46.3,0.34,0.4772,0,0.2259
Huancavelica,López Aliaga,M,26-40,9540705,0.1686,1080,50.47,0.39,0.4925,0,0.321
Callao,Acuña,F,18-25,7436206,0.0619,864,55.86,0.36,0.4885,0,0.3883
Pasco,Fujimori,M,18-25,5970580,0.0632,1033,46.19,0.44,0.4911,0,0.3466
Áncash,Acuña,F,18-25,6886967,0.1714,1278,62.47,0.2,0.467,0,0.3233
Moquegua,Alvarez,F,26-40,9704560,0.1449,1226,61.47,0.22,0.4473,0,0.4404
Huancavelica,Vizcarra,F,41-60,9929788,0.0932,1236,46.72,0.37,0.4788,0,0.2748
Junín,Vizcarra,M,26-40,5303338,0.1328,1292,40.81,0.38,0.4741,0,0.2033
Lima,Alvarez,M,26-40,8926635,0.1367,864,52.2,0.3,0.4939,0,0.1774
Ica,López Aliaga,M,60+,1849023,0.1534,1024,45.99,0.35,0.4269,0,0.4811
Ica,Fujimori,F,18-25,6885587,0.1728,1083,47.25,0.43,0.4993,0,0.3081
Huancavelica,Vizcarra,M,26-40,7420371,0.1027,1188,49.5,0.21,0.4323,0,0.2514
Cajamarca,Acuña,F,60+,1495231,0.0508,1082,47.95,0.42,0.4856,0,0.3745
San Martín,Acuña,F,41-60,1688020,0.1198,848,44.88,0.29,0.4064,0,0.4434
Puno,López Aliaga,M,60+,9409439,0.0786,1185,40.71,0.33,0.4355,0,0.2965
Callao,López Aliaga,M,60+,8608458,0.1006,1244,41.36,0.37,0.4366,0,0.3814
Cusco,López Aliaga,M,18-25,6803956,0.0797,1222,51.75,0.28,0.4663,0,0.2549
Puno,Fujimori,F,60+,3248724,0.1142,787,46.12,0.27,0.4139,0,0.3847
Moquegua,Alvarez,M,60+,7257236,0.1732,1057,46.95,0.3,0.434,0,0.3677
Tacna,Acuña,M,41-60,9449392,0.0653,1131,42.82,0.47,0.4695,0,0.4414
Pasco,López Aliaga,F,18-25,5009260,0.1463,805,50.58,0.38,0.483,0,0.3509
Huancavelica,Vizcarra,F,41-60,4294766,0.0875,1187,42.62,0.41,0.4645,0,0.3545
Puno,Fujimori,F,41-60,2921085,0.1374,1009,60.56,0.27,0.465,0,0.4245
Áncash,Vizcarra,M,18-25,4482126,0.1624,1089,55.22,0.24,0.4188,0,0.4895
Apurímac,Fujimori,M,41-60,8761276,0.0846,1239,41.34,0.43,0.4837,0,0.2606
Tacna,López Aliaga,F,60+,1292947,0.0797,1023,45.88,0.39,0.4544,0,0.4231
Tacna,Alvarez,M,26-40,2355544,0.0732,1052,45.55,0.21,0.4131,0,0.2563
Madre de Dios,Vizcarra,M,26-40,2666225,0.0901,914,50.81,0.29,0.446,0,0.3699
La Libertad,Vizcarra,M,26-40,4642378,0.1318,954,45.46,0.39,0.457,0,0.4057
Lima,Vizcarra,M,26-40,3218098,0.0588,1206,42.42,0.49,0.4892,0,0.3837
San Martín,Alvarez,F,26-40,6528651,0.0633,886,45.14,0.23,0.4188,0,0.2599
Piura,Fujimori,M,18-25,3525209,0.1026,772,46.74,0.25,0.4272,0,0.2988
Pasco,Vizcarra,M,60+,1489630,0.0582,1099,47.27,0.27,0.4494,0,0.2383
Huánuco,Acuña,M,60+,2411590,0.0927,979,59.12,0.24,0.4641,0,0.3484
Madre de Dios,Vizcarra,F,41-60,4367912,0.0895,889,49.33,0.45,0.4812,0,0.471
Callao,Acuña,F,26-40,8133193,0.1276,1107,40.58,0.24,0.3713,0,0.4381
Amazonas,Acuña,F,18-25,4629327,0.0742,1076,43.08,0.38,0.442,0,0.4069
Lima,Fujimori,M,18-25,6615861,0.1531,757,44.6,0.45,0.4758,0,0.4128
Huancavelica,Vizcarra,M,60+,9203181,0.0912,1092,40.99,0.49,0.4996,0,0.3065
Lima,Vizcarra,F,26-40,9677473,0.1548,1286,59.86,0.3,0.4639,0,0.4802
Junín,Alvarez,F,18-25,4253855,0.0624,932,42.41,0.29,0.4488,0,0.1852
Madre de Dios,Acuña,M,60+,7097122,0.1447,823,43.15,0.24,0.3876,0,0.4036
Moquegua,Acuña,M,18-25,4758189,0.1127,775,44.77,0.26,0.44,0,0.2207
Cusco,Alvarez,M,41-60,2842438,0.0662,826,45.54,0.23,0.3933,0,0.3941
Cusco,López Aliaga,M,26-40,2058122,0.0986,1063,61.19,0.26,0.4958,0,0.2693
San Martín,Acuña,M,41-60,1687944,0.1262,879,41.69,0.37,0.4313,0,0.4206
Moquegua,López Aliaga,F,18-25,9739912,0.0671,1013,42.88,0.44,0.4954,0,0.2647
Tumbes,Fujimori,F,41-60,3896220,0.177,777,44.77,0.26,0.436,0,0.2438
Puno,López Aliaga,F,60+,1643832,0.1423,1064,55.65,0.24,0.4335,0,0.4321
Ica,López Aliaga,F,41-60,4234912,0.089,1020,50.25,0.42,0.4712,0,0.4955
Cajamarca,López Aliaga,M,41-60,5086661,0.1286,1174,54.64,0.3,0.4847,0,0.2593
Tumbes,Vizcarra,F,26-40,7004493,0.0713,1074,53.5,0.39,0.4892,0,0.4093
Amazonas,Acuña,F,18-25,5558167,0.0967,1109,55.74,0.38,0.4776,0,0.4838
Huancavelica,Vizcarra,M,41-60,6659302,0.1442,960,43.71,0.27,0.4174,0,0.3227
La Libertad,López Aliaga,M,26-40,5097329,0.1006,956,47.23,0.44,0.477,0,0.4442
La Libertad,López Aliaga,M,60+,867016,0.1298,1058,51.5,0.37,0.4588,0,0.476
Huancavelica,Acuña,F,18-25,6033054,0.0971,1173,52.88,0.28,0.4517,0,0.3668
Callao,Alvarez,M,26-40,5645978,0.1586,859,43,0.38,0.4584,0,0.3231
Áncash,Alvarez,M,26-40,7470592,0.1604,815,55.05,0.29,0.454,0,0.4113
Callao,Vizcarra,M,18-25,5830470,0.1389,1193,61.67,0.27,0.4836,0,0.3547
Ucayali,Alvarez,F,60+,1621301,0.1093,821,41.56,0.43,0.4894,0,0.2366
Junín,López Aliaga,M,18-25,2382065,0.1159,930,49.32,0.27,0.4157,0,0.4489
Lambayeque,López Aliaga,M,26-40,6949513,0.1477,1147,50.35,0.26,0.4124,0,0.4602
Tumbes,Fujimori,F,18-25,7604600,0.1785,861,44.24,0.23,0.429,0,0.2027
Moquegua,Acuña,F,41-60,2290774,0.1529,1247,67.71,0.22,0.4852,0,0.3619
Madre de Dios,Alvarez,M,18-25,8707627,0.1162,896,52.18,0.29,0.4688,0,0.2739
Amazonas,Fujimori,M,41-60,5300580,0.0694,762,43.74,0.43,0.4828,0,0.328
La Libertad,Vizcarra,F,41-60,9012290,0.1414,720,44.9,0.38,0.4402,0,0.4601
Huánuco,López Aliaga,F,18-25,7319761,0.1405,1122,40.74,0.4,0.4646,0,0.2927
Huánuco,Vizcarra,M,26-40,2735639,0.1585,1256,45.49,0.25,0.3965,0,0.4178
Áncash,López Aliaga,F,60+,2170147,0.1258,1066,43.81,0.2,0.3733,0,0.4134
Callao,López Aliaga,F,41-60,5532976,0.0615,1091,60.94,0.22,0.4853,0,0.2384
Ica,Alvarez,F,18-25,3142864,0.1592,736,65.71,0.26,0.4969,0,0.3548
Moquegua,Alvarez,F,60+,9115871,0.0672,842,51.62,0.22,0.4467,0,0.2473
Loreto,Acuña,M,18-25,5852405,0.1694,1011,58.19,0.29,0.4963,0,0.2591
Tumbes,Alvarez,F,18-25,9514841,0.0676,1178,54,0.23,0.4228,0,0.4315
Lambayeque,Vizcarra,F,41-60,7138500,0.1796,1167,41.03,0.27,0.4323,0,0.1949
Callao,Alvarez,M,41-60,7738908,0.053,853,44.81,0.24,0.4265,0,0.2368
Apurímac,López Aliaga,M,60+,7261296,0.1622,1009,45.75,0.33,0.4809,0,0.1796
Cusco,Acuña,M,18-25,2297454,0.173,877,58.28,0.23,0.4949,0,0.1475
Pasco,Vizcarra,F,41-60,8607765,0.1461,721,45.1,0.27,0.4423,0,0.226
Huancavelica,López Aliaga,M,60+,5916060,0.1245,1198,42.17,0.26,0.3751,0,0.4876
La Libertad,Alvarez,M,26-40,1786555,0.1695,847,49.24,0.36,0.4872,0,0.267
Cusco,Alvarez,F,26-40,1702593,0.0826,1025,59.78,0.32,0.4981,0,0.3473
Lambayeque,Acuña,M,26-40,3696619,0.1026,703,44.27,0.38,0.4945,0,0.1764
Loreto,Acuña,M,60+,8008874,0.1402,933,45.18,0.47,0.4757,0,0.4634
Huánuco,Fujimori,M,41-60,7171744,0.0622,1234,48.96,0.25,0.4312,0,0.3283
La Libertad,Fujimori,F,60+,7069357,0.0549,1186,60.7,0.21,0.4372,0,0.4391
Loreto,Acuña,F,60+,7863440,0.1675,1244,52.61,0.25,0.4222,0,0.4413
Puno,López Aliaga,M,60+,4013985,0.0888,817,43.14,0.36,0.4753,0,0.2153
Áncash,Vizcarra,F,41-60,9069484,0.0838,1208,53.89,0.21,0.4128,0,0.431
Amazonas,Alvarez,M,41-60,4924261,0.17,1096,46.26,0.31,0.4297,0,0.4063
Huancavelica,Fujimori,F,18-25,4881835,0.1221,1145,45.37,0.25,0.4368,0,0.2162
Callao,Alvarez,M,26-40,1186734,0.1538,1102,40.32,0.3,0.4438,0,0.1792
Amazonas,Alvarez,M,26-40,3559329,0.1075,959,47.68,0.28,0.4528,0,0.2538
Tumbes,Alvarez,F,18-25,1882855,0.0898,877,58.55,0.24,0.4615,0,0.3387
Pasco,Alvarez,M,26-40,7139141,0.1628,1108,41.73,0.42,0.4636,0,0.3524
Ayacucho,Acuña,M,60+,8057418,0.1484,969,55.92,0.39,0.4948,0,0.4186
Tacna,Vizcarra,M,60+,2055505,0.0848,858,63.98,0.3,0.499,0,0.3786
Tacna,Alvarez,M,18-25,2068759,0.0954,1141,56.54,0.25,0.4977,0,0.1489
Lambayeque,Acuña,F,41-60,9091986,0.0839,921,44.57,0.37,0.4271,0,0.4914
Áncash,Alvarez,F,41-60,4775162,0.1692,1012,53.05,0.21,0.4244,0,0.354
Madre de Dios,López Aliaga,M,18-25,4609214,0.1126,1178,44.1,0.37,0.468,0,0.291
Áncash,Vizcarra,F,26-40,6924469,0.0851,857,45.22,0.41,0.4524,0,0.4604
Huancavelica,Alvarez,F,18-25,9126013,0.1015,734,43.83,0.44,0.4609,0,0.4565
Tumbes,Fujimori,M,60+,3720815,0.1041,936,47.18,0.46,0.4789,0,0.4606
Piura,Acuña,F,41-60,9047746,0.0875,1201,61.29,0.26,0.4672,0,0.4088
La Libertad,Acuña,M,60+,8990494,0.0722,713,42.93,0.46,0.4708,0,0.4182
Callao,Fujimori,M,26-40,8175362,0.0924,1262,48.15,0.31,0.4937,0,0.1063
Cusco,Vizcarra,M,26-40,5854435,0.1491,1019,45.83,0.23,0.432,0,0.2206
Huánuco,Vizcarra,F,60+,4227763,0.0802,985,51.09,0.44,0.4917,0,0.4382
Lambayeque,López Aliaga,M,41-60,1299245,0.0868,1135,49.42,0.27,0.4676,0,0.1945
Moquegua,Alvarez,F,41-60,2969936,0.1482,1182,61.13,0.25,0.492,0,0.2722
Ayacucho,Acuña,M,26-40,5896108,0.0603,928,41.86,0.33,0.4361,0,0.3117
Callao,Vizcarra,F,60+,876361,0.1786,909,43.55,0.42,0.4554,0,0.439
La Libertad,López Aliaga,F,41-60,6062538,0.0712,1257,51.76,0.39,0.4728,0,0.4499
Apurímac,Fujimori,M,18-25,8763115,0.0838,1093,66.98,0.25,0.4736,0,0.4815
Cusco,López Aliaga,M,18-25,1585125,0.1131,751,46.31,0.31,0.4691,0,0.2036
Arequipa,Vizcarra,F,18-25,7676708,0.0995,880,43.11,0.47,0.4774,0,0.4222
Ayacucho,Vizcarra,F,26-40,2303232,0.1313,939,47.81,0.26,0.4097,0,0.4326
Puno,Acuña,F,26-40,5114829,0.1233,1077,49.79,0.24,0.4645,0,0.1484
Ucayali,Fujimori,M,18-25,9763221,0.0844,1239,57.02,0.26,0.4589,0,0.3715
